,latitude,longitude
2022-05-11 14:30:38,78.192638,-7.640384
2022-05-11 15:00:38,78.189322,-7.647762
2022-05-11 15:30:27,78.185978,-7.655958
2022-05-11 16:00:39,78.182605,-7.665415
2022-05-11 16:30:38,78.179377,-7.674692
2022-05-11 17:00:39,78.176331,-7.684301
2022-05-11 17:30:38,78.173383,-7.693765
2022-05-11 18:00:39,78.170509,-7.703132
2022-05-11 18:30:27,78.167805,-7.711851
2022-05-11 19:00:39,78.165246,-7.719627
2022-05-11 19:30:38,78.162934,-7.725751
2022-05-11 20:00:39,78.160875,-7.730364
2022-05-11 20:30:39,78.159008,-7.733718
2022-05-11 21:00:38,78.157202,-7.736184
2022-05-11 21:30:27,78.15528,-7.738156
2022-05-11 22:00:39,78.153313,-7.740382
2022-05-11 22:30:37,78.151444,-7.74267
2022-05-11 23:00:38,78.149676,-7.74499
2022-05-11 23:30:39,78.148005,-7.747557
2022-05-12 00:00:39,78.146347,-7.750629
2022-05-12 00:30:26,78.144776,-7.753687
2022-05-12 01:00:37,78.143188,-7.756551
2022-05-12 01:30:38,78.141538,-7.759523
2022-05-12 02:00:40,78.139809,-7.762792
2022-05-12 02:30:38,78.137959,-7.766526
2022-05-12 03:00:39,78.136062,-7.771315
2022-05-12 03:30:29,78.134078,-7.776917
2022-05-12 04:00:40,78.132075,-7.783446
2022-05-12 04:30:38,78.130094,-7.790466
2022-05-12 05:00:39,78.128204,-7.797631
2022-05-12 05:30:38,78.126368,-7.804894
2022-05-12 06:00:37,78.124563,-7.812374
2022-05-12 06:30:26,78.122821,-7.819993
2022-05-12 07:00:42,78.121118,-7.827637
2022-05-12 07:30:39,78.119495,-7.835434
2022-05-12 08:00:38,78.117986,-7.843184
2022-05-12 08:30:38,78.116585,-7.850597
2022-05-12 09:00:38,78.115346,-7.857848
2022-05-12 09:30:26,78.114202,-7.864637
2022-05-12 10:00:40,78.113048,-7.871155
2022-05-12 10:30:38,78.111899,-7.877223
2022-05-12 11:00:39,78.110739,-7.883556
2022-05-12 11:30:38,78.109576,-7.889806
2022-05-12 12:00:38,78.108455,-7.895457
2022-05-12 12:30:28,78.107304,-7.900517
2022-05-12 13:00:37,78.106004,-7.905543
2022-05-12 13:30:39,78.104594,-7.911098
2022-05-12 14:00:41,78.103075,-7.917588
2022-05-12 14:30:39,78.101423,-7.924973
2022-05-12 15:00:39,78.09954,-7.933393
2022-05-12 15:30:29,78.097597,-7.942318
2022-05-12 16:00:39,78.09561,-7.951276
2022-05-12 16:30:38,78.093617,-7.960204
2022-05-12 17:00:39,78.091618,-7.970073
2022-05-12 17:30:39,78.089727,-7.980469
2022-05-12 18:00:38,78.088094,-7.990808
2022-05-12 18:30:28,78.086629,-8.000482
2022-05-12 19:00:38,78.085133,-8.009996
